WELL DEPT GR MR DR SR NPHI RHOB DT VSH RW
LL-4	36.0	nan	nan	nan	nan	nan	nan	nan	nan	0.203116
LL-4	36.5	nan	nan	nan	nan	nan	nan	nan	nan	0.203084
LL-4	37.0	nan	nan	nan	nan	nan	nan	nan	nan	0.203052
LL-4	37.5	nan	nan	nan	nan	nan	nan	nan	nan	0.20302
LL-4	38.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202988
LL-4	38.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202955
LL-4	39.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202923
LL-4	39.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202891
LL-4	40.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202859
LL-4	40.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202827
LL-4	41.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202795
LL-4	41.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202762
LL-4	42.0	nan	nan	nan	nan	nan	nan	nan	nan	0.20273
LL-4	42.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202698
LL-4	43.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202666
LL-4	43.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202634
LL-4	44.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202602
LL-4	44.5	nan	nan	nan	nan	nan	nan	nan	nan	0.20257
LL-4	45.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202538
LL-4	45.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202506
LL-4	46.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202474
LL-4	46.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202442
LL-4	47.0	nan	nan	nan	nan	nan	nan	nan	nan	0.20241
LL-4	47.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202378
LL-4	48.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202346
LL-4	48.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202314
LL-4	49.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202282
LL-4	49.5	nan	nan	nan	nan	nan	nan	nan	nan	0.20225
LL-4	50.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202218
LL-4	50.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202186
LL-4	51.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202154
LL-4	51.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202122
LL-4	52.0	nan	nan	nan	nan	nan	nan	nan	nan	0.20209
LL-4	52.5	nan	nan	nan	nan	nan	nan	nan	nan	0.202058
LL-4	53.0	nan	nan	nan	nan	nan	nan	nan	nan	0.202026
LL-4	53.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201994
LL-4	54.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201962
LL-4	54.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201931
LL-4	55.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201899
LL-4	55.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201867
LL-4	56.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201835
LL-4	56.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201803
LL-4	57.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201771
LL-4	57.5	nan	nan	nan	nan	nan	nan	nan	nan	0.20174
LL-4	58.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201708
LL-4	58.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201676
LL-4	59.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201644
LL-4	59.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201613
LL-4	60.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201581
LL-4	60.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201549
LL-4	61.0	nan	nan	nan	nan	nan	nan	nan	nan	0.201517
LL-4	61.5	nan	nan	nan	nan	nan	nan	nan	nan	0.201486
